Filename	TrainValidateTest	Style	Genre	Artist
00000.jpg	train	landscape	Impressionism	Camille Pissarro
00001.jpg	train	landscape	Neo-Romanticism	Cookham
00002.jpg	train	landscape	Impressionism	Paul Gauguin
00003.jpg	train	landscape	Post-Impressionism	Gustave Loiseau
00004.jpg	train	landscape	Ink and wash painting	Xu Beihong
00005.jpg	train	abstract	Concretism	Richard Paul Lohse
00006.jpg	train	portrait	Rococo	Dmitry Levitzky
00007.jpg	train	portrait	Post-Impressionism	Moise Kisling
00008.jpg	train	landscape	Realism	Camille Corot
00009.jpg	train	portrait	Romanticism	Jan Matejko
00010.jpg	train	portrait	Expressionism	Marie Laurencin
00011.jpg	train	abstract	Lyrical Abstraction	Gustave Singier
00012.jpg	train	landscape	Realism	Maxime Lalanne
00013.jpg	train	portrait	Expressionism	Amedeo Modigliani
00014.jpg	train	landscape	Magic Realism	Eyvind Earle
00015.jpg	train	portrait	Expressionism	Oskar Kokoschka
00016.jpg	train	landscape	Impressionism	Kimon Loghi
00017.jpg	train	landscape	Post-Impressionism	Micaela Eleutheriade
00018.jpg	train	landscape	Expressionism	Forrest Bess
00019.jpg	train	portrait	Realism	Albert Anker
00020.jpg	train	portrait	Academicism	Paul Delaroche
00021.jpg	train	landscape	Romanticism	Karl Bryullov
00022.jpg	train	portrait	Baroque	Frans Hals
00023.jpg	train	portrait	Realism	Peder Severin Kroyer
00024.jpg	train	abstract	Abstract Art	Tihamer Gyarmathy
00025.jpg	train	portrait	Mannerism (Late Renaissance)	Jacopo Pontormo
00026.jpg	train	landscape	Realism	Ivan Shishkin
00027.jpg	train	portrait	Realism	Anders Zorn
00028.jpg	train	portrait	Art Nouveau (Modern)	Zinaida Serebriakova
00029.jpg	train	landscape	Impressionism	Robert Julian Onderdonk
00030.jpg	train	landscape	Realism	James McNeill Whistler
00031.jpg	train	self-portrait	Realism	Taras Shevchenko
00032.jpg	train	portrait	Purism	Fernand Leger
00033.jpg	train	portrait	Romanticism	Edward Burne-Jones
00034.jpg	train	portrait	Expressionism	Oswaldo Guayasamin
00035.jpg	train	portrait	Expressionism	Tia Peltz
00036.jpg	train	abstract	Abstract Expressionism	Bradley Walker Tomlin
00037.jpg	train	landscape	Surrealism	Jules Perahim
00038.jpg	train	portrait	Romanticism	Karl Bodmer
00039.jpg	train	portrait	Romanticism	Karl Bryullov
00040.jpg	train	landscape	Romanticism	Karl Bodmer
00041.jpg	train	landscape	Realism	Camille Corot
00042.jpg	train	landscape	Realism	Ivan Shishkin
00043.jpg	train	abstract	Abstract Expressionism	Raoul Ubac
00044.jpg	train	self-portrait	Expressionism	John Bratby
00045.jpg	train	abstract	Abstract Expressionism	Milton Resnick
00046.jpg	train	portrait	Art Nouveau (Modern)	Filipp Malyavin
00047.jpg	train	portrait	Expressionism	George Bouzianis
00048.jpg	train	portrait	Romanticism	Vasily Tropinin
00049.jpg	train	portrait	Surrealism	Fornasetti
00050.jpg	train	landscape	Impressionism	Benjamin Brown
00051.jpg	train	portrait	Neoclassicism	John Singleton Copley
00052.jpg	train	abstract	Tachisme	Charles Lapicque
00053.jpg	train	abstract	Lyrical Abstraction	Helen Frankenthaler
00054.jpg	train	abstract	Abstract Art	Otto Freundlich
00055.jpg	train	portrait	Baroque	Frans Hals
00056.jpg	train	landscape	Romanticism	David Cox
00057.jpg	train	landscape	Impressionism	Camille Pissarro
00058.jpg	train	landscape	Romanticism	Ivan Aivazovsky
00059.jpg	train	portrait	Expressionism	Nikolaos Lytras
00060.jpg	train	portrait	Rococo	Charles Willson Peale
00061.jpg	train	landscape	Baroque	Rembrandt
00062.jpg	train	portrait	Realism	Ivan Kramskoy
00063.jpg	train	portrait	Magic Realism	Antonio Donghi
00064.jpg	train	portrait	Romanticism	Miklos Barabas
00065.jpg	train	portrait	Baroque	Diego Velazquez
00066.jpg	train	portrait	Neoclassicism	Jacques-Louis David
